BPD,AC,BPD_AC,BPD_T,AC_T
0.7116161516882511,0.2820085443977498,0.0025806969809096347,0.7133608427157561,0.2838031490596466
0.6928193500474339,0.3006698176140178,0.0027536249113583305,0.6947012675751284,0.30260105991297037
0.6747915480688634,0.31857225881368806,0.0029109819107141694,0.6768000953882258,0.32062923087286543
0.6575247180087351,0.33572673893520405,0.0030501838098391516,0.6596465222008941,0.3378957862576933
0.6424852154443135,0.3506758594694817,0.0031603676803407766,0.6446977963569692,0.35293439929132303
0.6315407079852015,0.3615201908222706,0.0032713686120491837,0.6338520025665376,0.36387685417957033
0.6174875393315901,0.37551131007679317,0.003346863029685063,0.6198610450882419,0.37792853362631573
0.6037936905495517,0.389157566803401,0.0034049569430343774,0.6062148218588191,0.39162057592778254
0.5877184677930688,0.4051878511678577,0.003460371442511928,0.590184672476549,0.4076935643667747
0.5795412083935364,0.41333303248829223,0.003492198527939715,0.5820378633983838,0.4158681078192874
0.5666681506034394,0.4262079037953056,0.003492933861188267,0.5691627841836794,0.4287385271504648
0.5514438827422231,0.44143713041842514,0.0034899080034015923,0.5539333576058302,0.4439596245712173
0.5388973049434368,0.4540169526471025,0.0034540186785687052,0.5413531290194078,0.4565029385219017
0.5252603138987151,0.4677012820311387,0.003401887360857933,0.5276683519706914,0.47013617400323665
0.5127369566473011,0.4802873969733044,0.0033316653245971206,0.5150816884610585,0.4826556360193584
0.49900941988048103,0.49408697205472296,0.0032500638030353666,0.5012814853258994,0.49637875508924845
0.49076023117132433,0.5024109431500112,0.0031620524177854792,0.4929559296841352,0.5046237633798336
0.4769099667166221,0.5163577510676208,0.0030512980355334586,0.47900836623451654,0.5184689785049404
0.4629167033301335,0.53045831139672,0.0029270721830077385,0.46490696080219507,0.5324567980421321
0.4497316351340971,0.5437621192982701,0.0027888873215022314,0.4516022842722713,0.5456362561900323
0.43453848897110825,0.5590759788376823,0.002645567404110386,0.43628731638776364,0.5608229449133684
0.4208684250588043,0.5728709138019209,0.0024965505595580485,0.4224913123745538,0.5744866692357035
0.4100123530476685,0.5838441337795325,0.002353686028143594,0.4115162173168158,0.5853364682217421
0.39586705977904163,0.5981184873408607,0.0021957608713563032,0.3972406445376054,0.5994747212648623
0.3770814181273295,0.6170378807651957,0.002028234755129913,0.3783203827157479,0.6182519968510465
0.3661535659993263,0.6280781595126078,0.0018848556612146004,0.3672780990376307,0.6291729395290705
0.35071129672098866,0.6436345375598398,0.001735156164753273,0.3517200483462413,0.6446070480352042
0.33524043617383026,0.6592082760797762,0.001595811731798916,0.33614447774324957,0.6600696495140745
0.32040568526357444,0.674139180181766,0.0014623471617576276,0.32121177224426345,0.6748962037871122
0.30508917853495,0.6895384892717137,0.001341660937101662,0.305810366107601,0.6902043724621231
0.29064478042169445,0.7040567244852044,0.0012302428920093053,0.29129007197954115,0.7046407032817114
